ID do NOX;Latitude;Longitude
14000931;-23,457150;-46,478478
14000932;-23,498208;-46,560014
14000933;-23,456811;-46,477689
14000934;-23,456461;-46,476889
14000936;-23,464561;-46,497786
14000938;-23,457028;-46,478211
14000939;-23,457486;-46,479292
14000941;-23,465250;-46,499683
14000942;-23,496117;-46,557094
14000943;-23,496233;-46,557356
14000946;-23,456697;-46,477433
14000947;-23,496347;-46,557867
14000948;-23,496319;-46,558142
14000949;-23,456919;-46,477956
14000952;-23,464469;-46,497503
14000953;-23,496231;-46,558422
14000954;-23,495967;-46,556861
14000955;-23,458825;-46,482475
14000956;-23,527201;-46,589298
14000958;-23,471633;-46,518239
14000959;-23,461760;-46,490711
14000960;-23,461760;-46,490711
14000961;-23,253130;-45,939941
14000962;-23,252500;-45,938600
14000963;-23,251909;-45,937950
14000964;-23,253100;-45,939600
14000965;-23,252400;-45,938400
14000966;-23,251900;-45,937600
14000967;-23,251600;-45,937200
14000968;-23,252200;-45,938200
14000969;-23,253100;-45,939600
14000970;-23,252750;-45,939468
14000971;-23,251129;-45,936729
14000972;-23,251100;-45,936500
14000973;-23,252689;-45,939190
14000974;-23,252800;-45,939100
14000975;-23,253590;-45,940060
14000976;-23,251600;-45,937200
14000977;-23,252700;-45,938900
14000978;-23,251800;-45,937400
14000979;-23,252399;-45,938068
14000980;-23,252400;-45,938400
14000981;-23,252000;-45,937900
14000982;-23,251320;-45,936981
14000983;-23,251740;-45,937870
14000984;-23,253000;-45,939400
14000985;-23,253500;-45,940100
14000986;-23,252239;-45,939152
14000988;-23,252550;-45,938950
14000996;-23,251500;-45,936900
14000999;-23,251300;-45,936700
14001000;-23,251800;-45,937400
14001004;-23,228697;-45,913545
14001016;-22,750286;-45,106026
14001017;-22,750797;-45,105466
14001023;-23,225978;-45,906756
14001028;-23,403350;-46,332091
14001030;-23,228300;-45,909199
14001035;-22,516254;-44,704020
14001036;-22,750448;-45,105661
14001039;-23,227900;-45,908901
14001042;-23,226999;-45,908001
14001043;-23,229083;-45,905492
14001046;-23,402773;-46,331907
14001047;-23,403607;-46,331646
14001051;-23,402190;-46,328864
14001054;-23,225300;-45,906399
14001056;-23,227301;-45,908798
14001060;-23,402359;-46,328637
14001061;-23,403466;-46,331844
14001063;-22,750296;-45,106032
14001069;-22,750434;-45,105658
14001070;-23,402144;-46,329171
14001071;-23,402344;-46,328668
14001074;-23,395650;-46,290066
14001077;-22,516123;-44,703778
14001078;-22,822294;-45,192718
14001079;-23,402557;-46,331657
14001080;-23,231548;-45,905712
14001081;-22,779642;-45,148429
14001082;-23,402764;-46,331305
14001083;-22,750624;-45,105553
14001084;-22,750630;-45,105549
14001085;-23,402328;-46,331508
14001092;-23,395852;-46,290324
14001093;-23,352289;-46,198816
14001095;-23,401024;-46,306913
14001096;-23,227637;-45,909638
14001098;-23,228500;-45,909801
14001099;-22,457008;-44,410022
14001101;-22,515978;-44,703516
14001103;-23,402776;-46,331875
14001104;-22,750452;-45,105658
14001105;-23,390333;-46,278700
14001106;-22,750809;-45,105444
14001107;-23,402183;-46,328865
14001114;-23,229300;-45,908699
14001115;-23,225201;-45,906300
14001118;-23,352291;-46,198815
14001119;-23,402142;-46,329192
14001121;-23,224988;-45,908088
14001123;-23,401189;-46,307665
14001124;-23,227400;-45,909000
14001126;-22,779494;-45,148570
14001127;-23,226900;-45,908100
14001128;-23,228697;-45,913545
14001130;-23,225500;-45,906101
14001133;-23,248301;-45,932899
14001134;-23,229475;-45,905942
14001136;-23,226900;-45,908501
14001138;-23,364453;-46,224956
14001141;-23,402144;-46,329177
14001142;-22,750787;-45,105466
14001144;-23,233817;-45,914955
14001149;-22,537408;-44,194296
14001153;-23,234358;-45,915212
14001157;-22,822288;-45,192697
14001158;-23,402136;-46,329138
14001161;-22,780055;-45,147919
14001162;-23,225100;-45,906000
14001166;-23,225212;-45,908570
14001169;-23,402642;-46,331550
14001174;-22,822261;-45,192699
14001175;-22,751400;-45,105900
14001176;-23,225433;-45,908752
14001180;-22,456979;-44,409722
14001184;-22,750156;-45,105577
14001185;-23,249201;-45,933498
14001189;-23,224100;-45,905300
14001191;-23,224199;-45,904900
14001193;-23,403304;-46,328022
14001197;-23,402176;-46,328863
14001200;-23,234245;-45,906147
14001202;-23,404454;-46,330763
14001203;-23,404273;-46,329741
14001204;-22,457172;-44,412659
14001205;-23,390428;-46,279280
14001208;-23,226943;-45,908980
14001209;-23,252342;-45,915407
14001210;-23,404956;-46,332212
14001213;-23,249128;-45,904790
14001214;-23,407415;-46,337288
14001216;-23,404870;-46,331534
14001217;-23,407294;-46,337037
14001223;-23,249001;-45,932899
14001224;-23,225433;-45,908930
14001225;-23,404800;-46,331501
14001226;-23,224100;-45,905300
14001228;-23,248400;-45,933399
14001229;-22,750618;-45,105553
14001230;-22,537070;-44,194640
14001231;-23,225120;-45,906355
14001233;-23,234212;-45,915427
14001234;-23,406663;-46,336077
14001235;-23,406518;-46,335783
14001236;-23,252497;-45,904667
14001237;-22,750053;-45,105613
14001239;-23,407131;-46,336801
14001240;-23,404758;-46,330546
14001241;-23,404788;-46,331203
14001242;-23,249113;-45,906147
14001243;-23,404754;-46,332338
14001245;-23,106776;-45,697977
14001251;-23,404528;-46,332397
14001253;-23,402249;-46,330458
14001254;-23,224858;-45,906522
14001255;-23,252399;-45,939499
14001257;-23,248600;-45,933800
14001261;-23,404253;-46,329718
14001262;-23,402727;-46,328081
14001266;-22,537500;-44,173000
14001269;-22,457264;-44,413526
14001270;-23,404467;-46,330746
14001272;-23,404693;-46,330876
14001275;-22,749948;-45,105385
14001277;-23,404950;-46,332194
14001279;-22,457432;-44,416700
14001281;-23,402570;-46,328337
14001282;-22,457022;-44,410295
14001285;-23,252612;-45,905960
14001286;-23,404702;-46,330864
14001288;-23,404499;-46,329794
14001290;-23,404957;-46,331866
14001292;-23,404257;-46,329728
14001299;-23,442284;-46,441845
14001300;-22,457248;-44,413243
14001304;-23,404940;-46,331850
14001309;-23,404778;-46,331219
