ID do NOX;Latitude;Longitude
14000949;-23,456919;-46,477956
14000950;0;0
14000951;0;0
14000952;-23,464469;-46,497503
14000953;-23,496231;-46,558422
14000954;-23,495967;-46,556861
14000955;-23,458825;-46,482475
14000956;-23,527201;-46,589298
14000957;0;0
14000958;-23,471633;-46,518239
14000959;-23,46176;-46,490711
14000960;-23,46176;-46,490711
14000961;-23,25313;-45,939941
14000962;-23,2525;-45,9386
14000963;-23,251909;-45,93795
14000964;-23,2531;-45,9396
14000965;-23,2524;-45,9384
14000966;-23,2519;-45,9376
14000967;-23,2516;-45,9372
14000968;-23,2522;-45,9382
14000969;-23,2531;-45,9396
14000970;-23,25275;-45,939468
14000971;-23,251129;-45,936729
14000972;-23,2511;-45,9365
14000973;-23,252689;-45,93919
14000974;-23,2528;-45,9391
14000975;-23,25359;-45,94006
14000976;-23,2516;-45,9372
14000977;-23,2527;-45,9389
14000978;-23,2518;-45,9374
14000979;-23,252399;-45,938068
14000980;-23,2524;-45,9384
14000981;-23,252;-45,9379
14000982;-23,25132;-45,936981
14000983;-23,25174;-45,93787
14000984;-23,253;-45,9394
14000985;-23,2535;-45,9401
14000986;-23,252239;-45,939152
14000987;0;0
14000988;-23,25255;-45,93895
14000989;0;0
14000990;0;0
14000991;0;0
14000992;0;0
14000993;0;0
14000994;0;0
14000995;0;0
14000996;-23,2515;-45,9369
14000997;0;0
14000998;0;0
14000999;-23,2513;-45,9367
14001000;-23,2518;-45,9374
14001001;0;0
14001002;0;0
14001003;0;0
14001004;-23,228697;-45,913545
14001005;0;0
14001006;0;0
14001007;0;0
14001008;0;0
14001009;0;0
14001010;0;0
14001011;0;0
14001012;0;0
14001013;0;0
14001014;0;0
14001015;0;0
14001016;-22,750286;-45,106026
14001017;-22,750797;-45,105466
14001018;0;0
14001019;0;0
14001020;0;0
14001021;0;0
14001022;0;0
14001023;-23,225978;-45,906756
14001024;0;0
14001025;0;0
14001026;0;0
14001027;0;0
14001028;-23,40335;-46,332091
14001029;0;0
14001030;-23,2283;-45,909199
14001031;0;0
14001032;0;0
14001033;0;0
14001034;0;0
14001035;-22,516254;-44,70402
14001036;-22,750448;-45,105661
14001037;0;0
14001038;0;0
14001039;-23,2279;-45,908901
14001040;0;0
14001041;0;0
14001042;-23,226999;-45,908001
14001043;-23,229083;-45,905492
14001044;0;0
14001045;0;0
14001046;-23,402773;-46,331907
14001047;-23,403607;-46,331646
14001048;0;0
14001049;0;0
14001050;0;0
14001051;-23,40219;-46,328864
14001052;0;0
14001053;0;0
14001054;-23,2253;-45,906399
14001055;0;0
14001056;-23,227301;-45,908798
14001057;0;0
14001058;0;0
14001059;0;0
14001060;-23,402359;-46,328637
14001061;-23,403466;-46,331844
14001062;0;0
14001063;-22,750296;-45,106032
14001064;0;0
14001065;0;0
14001066;0;0
14001067;0;0
14001068;0;0
14001069;-22,750434;-45,105658
14001070;-23,402144;-46,329171
14001071;-23,402344;-46,328668
14001072;0;0
14001073;0;0
14001074;-23,39565;-46,290066
14001075;0;0
14001076;0;0
14001077;-22,516123;-44,703778
14001078;-22,822294;-45,192718
14001079;-23,402557;-46,331657
14001080;-23,231548;-45,905712
14001081;-22,779642;-45,148429
14001082;-23,402764;-46,331305
14001083;-22,750624;-45,105553
14001084;-22,75063;-45,105549
14001085;-23,402328;-46,331508
14001086;0;0
14001087;0;0
14001088;0;0
14001089;0;0
14001090;0;0
14001091;0;0
14001092;-23,395852;-46,290324
14001093;-23,352289;-46,198816
14001094;0;0
14001095;-23,401024;-46,306913
14001096;-23,227637;-45,909638
14001097;0;0
14001098;-23,2285;-45,909801
14001099;-22,457008;-44,410022
14001100;0;0
14001101;-22,515978;-44,703516
14001102;0;0
14001103;-23,402776;-46,331875
14001104;-22,750452;-45,105658
14001105;-23,390333;-46,2787
14001106;-22,750809;-45,105444
14001107;-23,402183;-46,328865
14001108;0;0
14001109;0;0
14001110;0;0
14001111;0;0
14001112;0;0
14001113;0;0
14001114;-23,2293;-45,908699
14001115;-23,225201;-45,9063
14001116;0;0
14001117;0;0
14001118;-23,352291;-46,198815
14001119;-23,402142;-46,329192
14001120;0;0
14001121;-23,224988;-45,908088
14001122;0;0
14001123;-23,401189;-46,307665
14001124;-23,2274;-45,909
14001125;0;0
14001126;-22,779494;-45,14857
14001127;-23,2269;-45,9081
14001128;-23,228697;-45,913545
14001129;0;0
14001130;-23,2255;-45,906101
14001131;0;0
14001132;0;0
14001133;-23,248301;-45,932899
14001134;-23,229475;-45,905942
14001135;0;0
14001136;-23,2269;-45,908501
14001137;0;0
14001138;-23,364453;-46,224956
14001139;0;0
14001140;0;0
14001141;-23,402144;-46,329177
14001142;-22,750787;-45,105466
14001143;0;0
14001144;-23,233817;-45,914955
14001145;0;0
14001146;0;0
14001147;0;0
14001148;0;0
14001149;-22,537408;-44,194296
14001150;0;0
14001151;0;0
14001152;0;0
14001153;-23,234358;-45,915212
14001154;0;0
14001155;0;0
14001156;0;0
14001157;-22,822288;-45,192697
14001158;-23,402136;-46,329138
14001159;0;0
14001160;0;0
14001161;-22,780055;-45,147919
14001162;-23,2251;-45,906
14001163;0;0
14001164;0;0
14001165;0;0
14001166;-23,225212;-45,90857
14001167;0;0
14001168;0;0
14001169;-23,402642;-46,33155
14001170;0;0
14001171;0;0
14001172;0;0
14001173;0;0
14001174;-22,822261;-45,192699
